president,presidentid,term,obamadummy,povertyper,ppovertyper,npovertyper,civilper,ncivilper,pcivilper,middleper,gdp,gdpgrowth,deficit,percentpoor,percentunemployed,presdem,congressdem,electionspeech,words,povertyword,ppovertyword,npovertyword,civilword,pcivilword,ncivilword,middleword
Johnson,1,1,0,17.51583119,17.51583119,0,5.373283171,0,5.373283171,5.082908589,5795.18975,5.7,-36.46431,16.3,4.325,1,1,0,5538,9.5,9.5,0,3,3,0,2.75
Nixon,2,1,0,16.84618057,11.56202878,5.284151791,3.776000579,0,3.776000579,6.290253761,6825.546,2,-44.43546333,12.4,4.806666667,0,1,1,4328.666667,7.333333333,5,2.333333333,1.666666667,1.666666667,0,2.666666667
Nixon,2,2,0,17.40812379,13.53965184,3.868471954,1.934235977,0,1.934235977,1.934235977,7942.46,7.5,-82.88848,11.1,4.86,0,1,0,5170,9,7,2,1,1,0,1
Ford,3,1,0,23.93425488,19.91496228,4.019292605,3.220300055,0,3.220300055,4.63678441,7776.1995,-1.6,-136.70845,11.75,7.06,0,1,1,4553,11.5,9.5,2,1.5,1.5,0,2
Carter,4,1,0,24.4113771,24.4113771,0,8.463146445,0,8.463146445,9.445753072,8837.733667,4.533333333,-194.31644,11.56666667,6.323333333,1,1,1,3777.333333,10,10,0,3,3,0,3.666666667
Reagan,5,1,0,25.59751087,20.75907111,4.838439757,3.296739002,0,3.296739002,12.01025744,8666.17425,-0.85,-316.0193925,14.3,8.5275,0,0,1,5045.5,13,10.5,2.5,1.75,1.75,0,6
Reagan,5,2,0,31.70759564,18.81517454,12.8924211,2.288919566,0,2.288919566,4.400005675,9860.71425,4.2,-426.129915,13.85,6.97,0,1,0,4092.75,13,7.75,5.25,1,1,0,1.75
H.W. Bush,6,1,0,16.88833919,11.36499056,5.523348628,5.196515977,0,5.196515977,10.66051616,10961.3045,1.2,-375.568295,13.375,5.805,0,1,1,4420.75,7.75,5.25,2.5,2.25,2.25,0,4.5
Clinton,7,1,0,30.43261561,16.12756886,14.30504675,3.728930949,0,3.728930949,24.37388743,11653.943,2.75,-377.735565,14.55,6.5225,1,1,1,7478.5,22.75,12,10.75,2.75,2.75,0,18.25
Clinton,7,2,0,21.5488007,18.77835421,2.770446494,7.554560033,0,7.554560033,14.49881876,13123.08975,3.525,21.4321775,12.9,4.7675,1,0,0,7661.75,16.75,14.75,2,5.75,5.75,0,11
W. Bush,8,1,0,13.37255114,12.06740887,1.305142261,3.399028046,0.65257113,2.746456915,17.5030195,14602.9775,1.85,-49.600055,11.9,5.12,0,0,1,4685,6,5.5,0.5,1.5,1.25,0.25,8.25
W. Bush,8,2,0,12.94234929,12.47074015,0.47160913,4.764315769,0.974424899,3.789890871,20.73651802,16343.84325,3.15,-351.59879,12.525,4.9625,0,1,0,5383.5,7,6.75,0.25,2.5,2,0.5,10.75
Obama,9,1,1,10.65698553,10.65698553,0,1.475248382,0,1.475248382,24.57468543,16426.076,-0.25,-1227.555853,14.4,8.405,1,1,1,6809.25,7.25,7.25,0,1,1,0,17
Obama,9,2,1,10.62079433,10.62079433,0,5.717670788,0,5.717670788,33.8915193,17484.82675,2.125,-693.3894925,14.525,6.72,1,0,0,6658.5,7,7,0,3.75,3.75,0,22.5