speechid,speechyear,refyear,president,presidentid,term,obamadummy,povertyper,ppovertyper,npovertyper,civilper,ncivilper,pcivilper,middleper,gdp,gdpgrowth,deficit,percentpoor,percentunemployed,presdem,congressdem,electionspeech,words,povertyword,ppovertyword,npovertyword,civilword,pcivilword,ncivilword,middleword
1,1965,1964,Johnson,1,1,0,20.1884253,20.1884253,0,4.486316734,0,4.486316734,4.486316734,5260.086,5.7,-45.36805,19,5.16,1,1,0,4458,9,9,0,2,2,0,2
2,1966,1965,Johnson,1,1,0,19.83053903,19.83053903,0,10.81665765,0,10.81665765,3.605552551,5644.683,7.3,-10.70949,17.3,4.51,1,1,0,5547,11,11,0,6,6,0,2
3,1967,1966,Johnson,1,1,0,13.91207568,13.91207568,0,4.173622705,0,4.173622705,4.173622705,6071.75,7.6,-27.5501,14.7,3.79,1,1,0,7188,10,10,0,3,3,0,3
4,1968,1967,Johnson,1,1,0,16.13228473,16.13228473,0,2.016535592,0,2.016535592,8.066142367,6204.24,2.2,-62.2296,14.2,3.84,1,1,0,4959,8,8,0,1,1,0,4
5,1970,1969,Nixon,2,1,0,13.46196993,6.730984967,6.730984967,0,0,0,2.243661656,6782.335,3.5,21.5593,12.1,3.49,0,1,0,4457,6,3,3,0,0,0,1
6,1971,1970,Nixon,2,1,0,22.06531333,15.44571933,6.619593998,8.826125331,0,8.826125331,6.619593998,6745.893,-0.5,-17.81934,12.6,4.98,0,1,0,4532,10,7,3,4,4,0,3
7,1972,1971,Nixon,2,1,0,15.01125844,12.50938204,2.501876407,2.501876407,0,2.501876407,10.00750563,6948.41,3,-137.04635,12.5,5.95,0,1,1,3997,6,5,1,1,1,0,4
8,1974,1973,Nixon,2,2,0,17.40812379,13.53965184,3.868471954,1.934235977,0,1.934235977,1.934235977,7942.46,7.5,-82.88848,11.1,4.86,0,1,0,5170,9,7,2,1,1,0,1
9,1975,1974,Ford,3,1,0,9.685230024,9.685230024,0,2.421307506,0,2.421307506,7.263922518,7867.904,-0.9,-31.1658,11.2,5.64,0,1,0,4130,4,4,0,1,1,0,3
10,1976,1975,Ford,3,1,0,38.18327974,30.14469453,8.038585209,4.019292605,0,4.019292605,2.009646302,7684.495,-2.3,-242.2511,12.3,8.48,0,1,1,4976,19,15,4,2,2,0,1
11,1978,1977,Carter,4,1,0,45.76160384,45.76160384,0,4.358247984,0,4.358247984,13.07474395,8448.3,5.6,-217.31895,11.6,7.05,1,1,0,4589,21,21,0,2,2,0,6
12,1979,1978,Carter,4,1,0,27.47252747,27.47252747,0,15.26251526,0,15.26251526,15.26251526,8931.514,5.7,-224.31115,11.4,6.07,1,1,0,3276,9,9,0,5,5,0,5
13,1980,1979,Carter,4,1,0,0,0,0,5.768676089,0,5.768676089,0,9133.387,2.3,-141.31922,11.7,5.85,1,1,1,3467,0,0,0,2,2,0,0
14,1981,1980,Reagan,5,1,0,26.99662542,22.49718785,4.49943757,0,0,0,17.99775028,8730.625,-4.4,-225.1815,13,7.18,0,0,0,4445,12,10,2,0,0,0,8
15,1982,1981,Reagan,5,1,0,32.80586646,28.94635276,3.859513701,5.789270552,0,5.789270552,9.648784253,8733.92,0,-214.79296,14,7.62,0,0,0,5182,17,15,2,3,3,0,5
16,1983,1982,Reagan,5,1,0,30.57553957,21.58273381,8.992805755,5.395683453,0,5.395683453,14.38848921,8395.95,-3.9,-321.22227,15,9.71,0,0,0,5560,17,12,5,3,3,0,8
17,1984,1983,Reagan,5,1,0,12.01201201,10.01001001,2.002002002,2.002002002,0,2.002002002,6.006006006,8804.202,4.9,-502.88084,15.2,9.6,0,0,1,4995,6,5,1,1,1,0,3
18,1985,1984,Reagan,5,2,0,30.76194983,26.02934217,4.732607667,7.0989115,0,7.0989115,9.465215334,9374.424,6.5,-430.05144,14.4,7.51,0,0,0,4226,13,11,2,3,3,0,4
19,1986,1985,Reagan,5,2,0,31.57290471,14.35132032,17.22158439,0,0,0,2.870264064,9780.075,4.3,-477.693,14,7.19,0,0,0,3484,11,5,6,0,0,0,1
20,1987,1986,Reagan,5,2,0,31.58725981,18.42590155,13.16135825,0,0,0,5.264543301,9914.832,1.4,-477.85032,13.6,7,0,1,0,3799,12,7,5,0,0,0,2
21,1988,1987,Reagan,5,2,0,32.9082682,16.4541341,16.4541341,2.056766763,0,2.056766763,0,10373.526,4.6,-318.9249,13.4,6.18,0,1,0,4862,16,8,8,1,1,0,0
22,1989,1988,H.W. Bush,6,1,0,20.74258453,20.74258453,0,4.148516905,0,4.148516905,4.148516905,10767.83,3.8,-318.1149,13,5.49,0,1,0,4821,10,10,0,2,2,0,2
23,1990,1989,H.W. Bush,6,1,0,13.11991603,7.87194962,5.247966413,2.623983207,0,2.623983207,23.61584886,11089.092,3,-299.17244,12.8,5.26,0,1,0,3811,5,3,2,1,1,0,9
24,1991,1990,H.W. Bush,6,1,0,10.07810532,5.039052658,5.039052658,10.07810532,0,10.07810532,5.039052658,11122.056,0.3,-411.12696,13.5,5.62,0,1,0,3969,4,2,2,4,4,0,2
25,1992,1991,H.W. Bush,6,1,0,23.61275089,11.80637544,11.80637544,3.935458481,0,3.935458481,9.838646202,10866.24,-2.3,-473.85888,14.2,6.85,0,1,1,5082,12,6,6,2,2,0,5
26,1993,1992,Clinton,7,1,0,18.5634728,14.27959446,4.283878338,2.855918892,0,2.855918892,22.84735114,11247.596,3.5,-499.35212,14.8,7.49,1,1,0,7003,13,10,3,2,2,0,16
27,1994,1993,Clinton,7,1,0,43.29004329,20.29220779,22.9978355,4.058441558,0,4.058441558,24.35064935,11418.642,1.5,-423.38466,15.1,6.91,1,1,0,7392,32,15,17,3,3,0,18
28,1995,1994,Clinton,7,1,0,28.31627096,14.15813548,14.15813548,3.267262034,0,3.267262034,25.04900893,11840.256,3.7,-329.16132,14.5,6.1,1,0,0,9182,26,13,13,3,3,0,23
29,1996,1995,Clinton,7,1,0,31.5606754,15.7803377,15.7803377,4.73410131,0,4.73410131,25.24854032,12109.278,2.3,-259.04416,13.8,5.59,1,0,1,6337,20,10,10,3,3,0,16
30,1997,1996,Clinton,7,2,0,17.71217712,11.80811808,5.904059041,7.380073801,0,7.380073801,10.33210332,12393.306,2.3,-164.36943,13.7,5.41,1,0,0,6775,12,8,4,5,5,0,7
31,1998,1997,Clinton,7,2,0,26.05595173,23.31321997,2.742731761,8.228195283,0,8.228195283,23.31321997,12826.665,3.5,-32.60716,13.3,4.94,1,0,0,7292,19,17,2,6,6,0,17
32,1999,1998,Clinton,7,2,0,16.01281025,14.67840939,1.334400854,8.006405124,0,8.006405124,13.34400854,13361.124,4.2,101.8269,12.7,4.5,1,0,0,7494,12,11,1,6,6,0,10
33,2000,1999,Clinton,7,2,0,26.4142637,25.31366938,1.100594321,6.603565926,0,6.603565926,11.00594321,13911.264,4.1,180.8784,11.9,4.22,1,0,0,9086,24,23,1,6,6,0,10
34,2001,2000,W. Bush,8,1,0,18.31921227,18.31921227,0,4.579803068,0,4.579803068,16.02931074,14398.72,3.5,330.7374,11.3,3.97,0,0,0,4367,8,8,0,2,2,0,7
35,2002,2001,W. Bush,8,1,0,18.27199165,13.05142261,5.220569042,5.220569042,2.610284521,2.610284521,15.66170713,14339.43,-0.4,173.1186,11.7,4.74,0,0,0,3831,7,5,2,2,1,1,6
36,2003,2002,W. Bush,8,1,0,13.03052867,13.03052867,0,1.861504095,0,1.861504095,9.307520477,14709.85,2.6,-211.39572,12.1,5.78,0,0,0,5372,7,7,0,1,1,0,5
37,2004,2003,W. Bush,8,1,0,3.868471954,3.868471954,0,1.934235977,0,1.934235977,29.01353965,14963.91,1.7,-490.8605,12.5,5.99,0,0,1,5170,2,2,0,1,1,0,15
38,2005,2004,W. Bush,8,2,0,10.05631537,10.05631537,0,8.045052293,2.011263073,6.03378922,52.2928399,15711.872,5,-528.29056,12.7,5.54,0,0,0,4972,5,5,0,4,3,1,26
39,2006,2005,W. Bush,8,2,0,15.09149217,13.20505565,1.886436521,5.659309564,1.886436521,3.772873043,9.432182607,16236.188,3.3,-394.74904,12.6,5.08,0,0,0,5301,8,7,1,3,2,1,5
40,2007,2006,W. Bush,8,2,0,12.60126013,12.60126013,0,3.600360036,0,3.600360036,7.200720072,16488.521,1.6,-295.33539,12.3,4.61,0,1,0,5555,7,7,0,2,2,0,4
41,2008,2007,W. Bush,8,2,0,14.02032948,14.02032948,0,1.752541185,0,1.752541185,14.02032948,16938.792,2.7,-188.02017,12.5,4.62,0,1,0,5706,8,8,0,1,1,0,8
42,2009,2008,Obama,9,1,1,11.52832675,11.52832675,0,1.646903821,0,1.646903821,18.11594203,16484.832,-2.7,-513.57936,13.2,5.8,1,1,0,6072,7,7,0,1,1,0,11
43,2010,2009,Obama,9,1,1,11.04667219,11.04667219,0,1.380834024,0,1.380834024,35.90168462,16148.944,-2,-1582.21056,14.3,9.28,1,1,0,7242,8,8,0,1,1,0,26
44,2011,2010,Obama,9,1,1,7.257947452,7.257947452,0,1.45158949,0,1.45158949,10.16112643,16311.196,1,-1410.86657,15.1,9.61,1,0,0,6889,5,5,0,1,1,0,7
45,2012,2011,Obama,9,1,1,12.79499574,12.79499574,0,1.421666193,0,1.421666193,34.11998863,16759.332,2.7,-1403.56692,15,8.93,1,0,1,7034,9,9,0,1,1,0,24
46,2013,2012,Obama,9,2,1,8.817046289,8.817046289,0,1.469507715,0,1.469507715,23.51212344,16963.065,1.2,-1141.30275,15,8.08,1,0,0,6805,6,6,0,1,1,0,16
47,2014,2013,Obama,9,2,1,11.42693901,11.42693901,0,4.285102128,0,4.285102128,31.42408227,17192.245,1.4,-699.92826,14.8,7.37,1,0,0,7001,8,8,0,3,3,0,22
48,2015,2014,Obama,9,2,1,7.387706856,7.387706856,0,8.865248227,0,8.865248227,44.32624113,17567.031,2.2,-489.446,14.8,6.17,1,0,0,6768,5,5,0,6,6,0,30
49,2016,2015,Obama,9,2,1,14.85148515,14.85148515,0,8.250825083,0,8.250825083,36.30363036,18216.966,3.7,-442.88096,13.5,5.26,1,0,0,6060,9,9,0,5,5,0,22